0,1,2,3,4,5,6,7
-0.21984626,-0.10065312,-0.40923288,0.124321975,0.13683115,0.2000649,0.7247611,-0.41782957
-0.22855057,-0.10425939,-0.41695765,0.13519712,0.1387345,0.23210156,0.7029805,-0.4212631
-0.2274736,-0.08985644,-0.4324153,0.17264554,0.1365948,0.23609954,0.6772369,-0.43628106
-0.23613913,-0.11748205,-0.41964874,0.12820764,0.14222531,0.27724013,0.6806931,-0.421261
-0.2394376,-0.11580523,-0.43920544,0.15854996,0.13917834,0.3346911,0.62317723,-0.43758512
-0.13614257,-0.015782872,-0.49687624,0.30000988,0.1089202,0.5868916,0.18244007,-0.5047122
-0.2336628,-0.12392013,-0.417088,0.11282114,0.14258324,0.29231852,0.6813311,-0.41636792
-0.23444921,-0.117755145,-0.4281392,0.13455331,0.14033924,0.30045456,0.6612675,-0.4272199
-0.22923261,-0.103811786,-0.44311115,0.16932677,0.13675618,0.3140551,0.63060826,-0.44346014
-0.23133163,-0.11421198,-0.4205757,0.12858395,0.1407878,0.2709098,0.6849101,-0.42155474
-0.16187967,-0.01935581,-0.51291,0.30768624,0.12510556,0.36980492,0.44051912,-0.5188533
-0.22175187,-0.09710363,-0.4490661,0.18030164,0.13412976,0.3081147,0.62583023,-0.4501544
-0.23332687,-0.12539192,-0.41715163,0.110982046,0.14222421,0.29589817,0.68012744,-0.41610846
-0.23091479,-0.117484905,-0.43391368,0.14123532,0.1379421,0.32515988,0.6420521,-0.43319663
-0.23430687,-0.12699167,-0.41492838,0.10536094,0.14219767,0.30027887,0.68149334,-0.41338375
-0.23844853,-0.12744927,-0.42760772,0.12493849,0.14020234,0.3537532,0.63463026,-0.42530864
