0,1,2,3,4,5,6,7
-0.118097,0.0007580537,-0.49716944,0.3158983,0.10398484,0.6026931,0.11840272,-0.5010114
0.3745792,0.33809692,-0.4652664,0.45233694,0.009599323,0.11794999,-0.29261363,-0.47399607
0.062352307,0.16786817,-0.49556807,0.44759855,0.06992363,0.4749814,-0.18156779,-0.5084652
-0.022870077,0.078378774,-0.4953737,0.37357283,0.08033056,0.5866838,-0.069797195,-0.50285125
0.321558,0.28186297,-0.47435242,0.4353368,0.023659358,0.26153588,-0.3085612,-0.48831812
0.23015384,0.25229356,-0.48771036,0.45373705,0.042562936,0.3328719,-0.2728707,-0.5025582
0.03150101,0.14806794,-0.50524265,0.4452081,0.07663101,0.48266414,-0.1277132,-0.51812696
0.24652244,0.30448678,-0.49313423,0.49595103,0.04053735,0.20793821,-0.24596837,-0.5019797
0.15824926,0.20815721,-0.4934402,0.44806227,0.05499683,0.4123724,-0.23711465,-0.5080213
0.32757333,0.2923245,-0.47390708,0.44527623,0.023282029,0.231717,-0.30230954,-0.48862806
-0.13746887,0.021873284,-0.51956373,0.3567644,0.112258986,0.48920864,0.23612775,-0.52508384
0.054609984,0.13793188,-0.49420893,0.4127132,0.06984684,0.5257014,-0.16584335,-0.5046516
-0.04125704,0.06323815,-0.49509925,0.35843742,0.083276704,0.60141855,-0.041349363,-0.50034904
0.032946188,0.13573432,-0.49693245,0.42325768,0.07512833,0.5189325,-0.14573681,-0.50816077
-0.01902722,0.080225475,-0.49471632,0.36976507,0.08091839,0.58842534,-0.076139756,-0.5031321
0.2629755,0.29418635,-0.48450544,0.47831878,0.034996957,0.23794265,-0.2736172,-0.49805227
