0,1,2,3,4,5,6,7
0.54065555,0.37376598,-0.42065394,0.3605388,-0.031111473,-0.049488526,-0.27723595,-0.42517737
0.5689208,0.37528324,-0.42100826,0.33349538,-0.039817434,-0.08497727,-0.24154991,-0.42411268
0.5561738,0.37370485,-0.41733038,0.34648597,-0.0342618,-0.061606064,-0.27005625,-0.42296404
0.5528294,0.3738081,-0.41753858,0.34912303,-0.033215363,-0.05734877,-0.27368623,-0.4232321
0.57395357,0.37590787,-0.40947822,0.33305293,-0.040323082,-0.07743013,-0.26923704,-0.4129939
0.5729498,0.36984953,-0.4116651,0.332427,-0.039424602,-0.06435721,-0.27245215,-0.41837487
0.08996474,0.17084382,-0.49302265,0.43206507,0.06691451,0.47969824,-0.20161395,-0.5076722
0.1840131,0.22481295,-0.4874263,0.44533435,0.050361626,0.39615315,-0.2617879,-0.5016818
0.11623946,0.18707207,-0.49268675,0.43869895,0.060354915,0.45778543,-0.21932845,-0.50495565
0.52053726,0.3708734,-0.42718172,0.37383702,-0.024356175,-0.026886068,-0.28193256,-0.43411225
0.029182656,0.12821165,-0.4947539,0.41320983,0.07118511,0.5350457,-0.14205776,-0.50563294
-0.011485365,0.1152397,-0.49953657,0.4124229,0.077702306,0.5411046,-0.09304693,-0.50938094
0.5558316,0.37386474,-0.42177853,0.34500286,-0.034703363,-0.06724256,-0.25535497,-0.42827573
0.043619495,0.15165438,-0.49911857,0.43989947,0.071810134,0.49154383,-0.1539821,-0.51184464
0.061790068,0.14432734,-0.4935166,0.41599697,0.06713951,0.51896805,-0.17371684,-0.50470424
0.026622392,0.12118446,-0.49611413,0.404448,0.072572485,0.5417159,-0.13009192,-0.5091673
